epoch,teacher_forcing_ratio,train_loss,test_loss
1,1.0,0.4051965270708655,15.226477499914669
2,0.75,1.0782969983924682,5.296438616376924
3,0.5,1.7761899138112844,4.077623744930164
4,0.25,2.5732653260711693,3.4048196673111586
5,0.0,2.666727107516187,2.365331006739314
6,0.0,2.4191804184085126,2.6846083398325225
7,0.0,2.5390095123052863,2.102017090274288
8,0.0,2.3047694834877257,2.074922986856659
9,0.0,2.0766227823623415,2.342670228979268
9,0.0,2.23930397997448,2.017960669776521
1,0.0,1.8487290687833968,2.2513226213815174
2,0.0,2.1568027485834502,2.0369959181318618
3,0.0,2.0220916267566706,1.8387106750893947
4,0.0,2.0976805807550325,2.103273554556673
5,0.0,2.084738802818069,2.214572253502083
6,0.0,2.1989069771150738,2.12204090206968
7,0.0,1.956337914956278,1.8258775169229247
8,0.0,1.9297902840822583,2.3493497045973943
9,0.0,1.791705790144664,1.9162943023563086
10,0.0,2.0951515872704416,1.9120436453599534
